No.,Time,Source,Service Data,Info,Length
1969,3.807929,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1970,3.808800,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1971,3.809659,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1972,3.813115,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1973,3.813974,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1974,3.814833,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1975,3.823461,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1976,3.824319,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1977,3.825181,dc:23:51:7d:96:27,902ce5b2d60bb75188be3ef24863673e8e927a00,ADV_NONCONN_IND,63
1978,3.826039,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1979,3.826902,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1980,3.827761,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1981,3.828618,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1982,3.829491,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1983,3.832938,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1984,3.833809,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1985,3.834667,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1987,3.836395,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1988,3.839843,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1989,3.840714,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1990,3.841573,dc:23:51:7d:96:27,40808000cc60eb6323012c29f0c78cd05ea53d07,ADV_NONCONN_IND,63
1993,3.844160,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1994,3.845031,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1995,3.845891,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1996,3.849328,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1997,3.852787,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1998,3.853646,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2000,3.855375,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2001,3.856246,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2003,3.857970,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2004,3.858841,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2005,3.859699,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2006,3.860557,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2007,3.861430,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2008,3.864873,dc:23:51:7d:96:27,4080604ecd60abe220506ca8f0d78c905e891da7,ADV_NONCONN_IND,63
2009,3.865742,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2010,3.866601,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2011,3.867458,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2012,3.868320,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2013,3.869179,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2014,3.870042,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2016,3.871759,dc:23:51:7d:96:27,408060000001e70a9a673df2486367368c927a00,ADV_NONCONN_IND,63
2018,3.876055,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2019,3.876920,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2020,3.877778,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2025,3.883826,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2026,3.884685,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2027,3.885543,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2029,3.887271,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2031,3.889000,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2032,3.889859,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2033,3.890729,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2034,3.891588,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2035,3.895048,dc:23:51:7d:96:27,408060000001e70a9a673df24863671148d6f758,ADV_NONCONN_IND,63
2036,3.895906,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2037,3.896765,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2038,3.897628,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2039,3.901065,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2040,3.901929,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2041,3.902787,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2042,3.903645,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2044,3.907965,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2045,3.908835,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2046,3.909693,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2047,3.910552,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2048,3.911422,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2049,3.912281,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2050,3.913152,dc:23:51:7d:96:27,4000eff0c7dd421d9111942ef179673e8e927a00,ADV_NONCONN_IND,63
2051,3.914011,dc:23:51:7d:96:27,40407b4ec948a1233b944466e00eea805a09af00,ADV_NONCONN_IND,63
2052,3.914870,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2053,3.915740,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2054,3.916599,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2055,3.917458,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2056,3.920917,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2057,3.921774,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2062,3.925226,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2065,3.927813,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2066,3.928672,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2067,3.929542,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2070,3.931273,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
2071,3.932138,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
2072,3.932997,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
2074,3.934726,dc:23:51:7d:96:27,408080000001e701232daaf8f0c78d461383218f,ADV_NONCONN_IND,63
2075,3.935584,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
